Organization Code,Orgnazation Name,Student Pct Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,Female Graduation Rate,Male Graduation Rate,Pupil/Teacher Ratio,Teacher Pct Minority,Teacher Count,Total FTE,Average Salary,Female AP Enrollment,Male AP Enrollment,Total AP Enrollment
1590,PRIMERO REORGANIZED 2,0.01,16,0.607,183,0.889,0.833,1.0,10.36,0.5,22,20.25,40648.0,0,0,0
1600,HOEHNE REORGANIZED 3,0.01,16,0.384,354,0.9440000000000001,1.0,0.9,21.78,0.0,20,16.25,53186.0,0,0,0
1620,AGUILAR REORGANIZED 6,0.01,16,0.757,111,0.857,1.0,0.75,16.83,0.0,11,7.55,55100.0,0,0,0
1750,BRANSON REORGANIZED 82,0.01,16,0.168,470,0.8079999999999999,0.813,0.8,14.155000000000001,0.0,29,28.2,38642.0,0,0,0
1760,KIM REORGANIZED 88,0.01,16,0.542,48,1.0,1.0,1.0,6.470000000000001,0.0,10,8.52,30497.0,0,0,0
1780,GENOA-HUGO C113,0.01,16,0.317,164,1.0,1.0,1.0,10.25,0.0,18,18.25,37477.0,0,0,0
1790,LIMON RE-4J,0.01,16,0.445,479,0.889,0.905,0.875,14.17,0.0,35,33.95,35809.0,0,0,0
1810,KARVAL RE-23,0.01,16,0.585,41,0.556,0.75,0.4,7.83,0.0,8,6.52,37702.0,0,0,0
1828,VALLEY RE-1,0.01,16,0.499,2104,0.818,0.8540000000000001,0.779,74.98285714285714,0.0699300699300699,143,139.5,38296.0,0,0,0
1850,FRENCHMAN RE-3,0.01,16,0.41,178,0.941,1.0,0.917,10.3,0.0,20,19.56,40386.0,0,0,0
1860,BUFFALO RE-4J,0.01,16,0.35,306,1.0,1.0,1.0,13.585,0.0,23,22.59,44356.0,0,0,0
1870,PLATEAU RE-5,0.01,16,0.35,143,0.833,0.8,0.846,9.245000000000001,0.05882352941176472,17,17.35,38682.0,0,0,0
1980,DE BEQUE 49JT,0.01,16,0.456,171,0.7,1.0,0.5710000000000001,10.405000000000001,0.0,18,17.39,44012.0,0,0,0
1990,PLATEAU VALLEY 50,0.01,16,0.278,424,0.255,0.419,0.179,17.75,0.0357142857142857,28,28.23,42692.0,5,12,17
2000,MESA COUNTY VALLEY 51,0.01,16,0.511,21373,0.804,0.841,0.77,17.366000000000003,0.08552138034508627,1333,1284.54,47919.0,0,0,0
2010,CREEDE SCHOOL DISTRICT,0.01,16,0.63,81,1.0,0.0,1.0,7.36,0.0,11,11.0,42865.0,0,0,0
2020,MOFFAT COUNTY RE:NO 1,0.01,16,0.428,2064,0.8859999999999999,0.951,0.831,21.237499999999997,0.03053435114503822,131,130.03,46327.0,151,186,337
2035,MONTEZUMA-CORTEZ RE-1,0.01,16,0.677,2727,0.732,0.872,0.642,15.443636363636363,0.07428571428571429,175,169.0,37923.0,56,54,110
2055,DOLORES RE-4A,0.01,16,0.363,669,0.8909999999999999,1.0,0.75,9.105,0.05555555555555558,54,52.38,40010.0,28,12,40
2070,MANCOS RE-6,0.01,16,0.5589999999999999,458,0.9229999999999999,1.0,0.867,15.63,0.02941176470588236,34,32.55,37617.0,0,0,0
2180,MONTROSE COUNTY RE-1J,0.01,16,0.46799999999999997,5966,0.779,0.863,0.7140000000000001,19.576,0.025568181818181768,352,344.5,46275.0,321,202,523
2190,WEST END RE-2,0.01,16,0.632,261,0.8,1.0,0.667,13.549999999999999,0.04347826086956519,23,20.61,39517.0,1,0,1
2395,BRUSH RE-2(J),0.01,16,0.61,1472,0.85,0.852,0.848,16.1425,0.12631578947368416,95,94.14,38213.0,15,12,27
2405,FORT MORGAN RE-3,0.01,16,0.693,3022,0.7709999999999999,0.826,0.72,15.6725,0.0653266331658291,199,196.4,40573.0,26,29,55
2505,WELDON VALLEY RE-20(J),0.01,16,0.413,208,0.905,0.917,0.889,12.72,0.05555555555555558,18,18.0,35372.0,0,0,0
2515,WIGGINS RE-50(J),0.01,16,0.47,530,0.889,0.9329999999999999,0.857,16.773333333333337,0.05882352941176472,34,34.25,40788.0,0,0,0
2520,EAST OTERO R-1,0.01,16,0.7559999999999999,1355,0.88,0.905,0.848,16.363333333333333,0.1728395061728395,81,80.44,37446.0,10,3,13
2530,ROCKY FORD R-2,0.01,16,0.779,805,0.816,0.8640000000000001,0.778,14.083333333333334,0.3220338983050848,59,59.25,36408.0,5,3,8
2535,MANZANOLA 3J,0.01,16,0.701,127,0.846,1.0,0.667,7.824999999999999,0.0625,16,16.46,32321.0,0,0,0
2540,FOWLER R-4J,0.01,16,0.54,396,0.885,0.889,0.882,11.876666666666665,0.1428571428571429,35,33.95,37784.0,0,0,0
2560,CHERAW 31,0.01,16,0.629,202,1.0,1.0,1.0,12.15,0.0,18,17.63,38597.0,0,0,0
2570,SWINK 33,0.01,16,0.429,366,1.0,1.0,1.0,13.655000000000001,0.1071428571428571,28,26.74,38090.0,0,0,0
2580,OURAY R-1,0.01,16,0.312,173,0.929,0.8,1.0,7.366666666666667,0.0,27,24.76,47467.0,4,2,6
2590,RIDGWAY R-2,0.01,16,0.303,304,1.0,1.0,1.0,11.343333333333334,0.0,31,28.94,43070.0,34,21,55
2600,PLATTE CANYON 1,0.01,16,0.304,907,0.8240000000000001,0.846,0.813,15.716666666666667,0.046875,64,62.07,44018.0,28,25,53
2610,PARK COUNTY RE-2,0.01,16,0.494,607,0.654,0.636,0.667,14.85,0.06521739130434778,46,46.3,39893.0,0,0,0
2620,HOLYOKE RE-1J,0.01,16,0.425,581,0.872,0.765,0.955,12.603333333333333,0.1063829787234043,47,47.05,38724.0,7,8,15
2630,HAXTUN RE-2J,0.01,16,0.355,290,0.9129999999999999,1.0,0.8,12.3,0.0,25,24.6,39904.0,0,0,0
2640,ASPEN 1,0.01,16,0.048,1670,0.9259999999999999,0.961,0.895,13.314000000000002,0.027972027972028024,143,138.86,58287.0,16,19,35
2650,GRANADA RE-1,0.01,16,0.65,197,0.75,0.667,0.833,12.02,0.19999999999999996,20,18.07,39764.0,0,0,0
2660,LAMAR RE-2,0.01,16,0.665,1446,0.76,0.8220000000000001,0.706,17.451666666666668,0.12962962962962965,108,105.51,40687.0,5,1,6
2670,HOLLY RE-3,0.01,16,0.7020000000000001,285,0.95,1.0,0.909,13.736666666666665,0.09090909090909094,22,22.25,36385.0,0,0,0
2680,WILEY RE-13 JT,0.01,16,0.445,247,0.818,0.818,0.818,12.125,0.08695652173913049,23,22.24,35839.0,48,20,68
2690,PUEBLO CITY 60,0.01,16,0.773,16482,0.7390000000000001,0.805,0.68,17.639696969696974,0.312625250501002,998,1010.49,47260.0,465,344,809
2700,PUEBLO COUNTY 70,0.01,16,0.42200000000000004,9353,0.855,0.905,0.809,19.6925,0.16161616161616166,495,484.95,47696.0,391,351,742
2710,MEEKER RE1,0.01,16,0.349,694,0.902,0.882,0.917,17.169999999999998,0.023809523809523836,42,40.19,49066.0,5,1,6
2720,RANGELY RE-4,0.01,16,0.315,496,0.833,0.889,0.8,14.915,0.0,35,33.71,43895.0,0,0,0
2730,DEL NORTE C-7,0.01,16,0.536,440,0.8390000000000001,0.846,0.833,12.436666666666667,0.4,35,35.09,37460.0,0,0,0
2740,MONTE VISTA C-8,0.01,16,0.695,1116,0.7659999999999999,0.775,0.759,18.738333333333333,0.2894736842105263,76,74.97,40566.0,27,18,45
2750,SARGENT RE-33J,0.01,16,0.359,376,1.0,1.0,1.0,15.256666666666666,0.1071428571428571,28,25.15,40714.0,2,4,6
2760,HAYDEN RE-1,0.01,16,0.439,380,0.9,1.0,0.833,12.286666666666667,0.0,36,34.83,52753.0,0,0,0
2770,STEAMBOAT SPRINGS RE-2,0.01,16,0.158,2526,0.904,0.865,0.9440000000000001,16.174285714285713,0.00591715976331364,169,164.67,53803.0,252,202,454
2780,SOUTH ROUTT RE 3,0.01,16,0.401,327,0.821,0.857,0.7859999999999999,8.29,0.0,31,30.22,40629.0,2,2,4
2790,MOUNTAIN VALLEY RE 1,0.01,16,0.828,122,0.909,0.857,1.0,8.7,0.19999999999999996,15,15.13,32776.0,0,0,0
2800,MOFFAT 2,0.01,16,0.7959999999999999,191,1.0,1.0,1.0,10.235,0.13636363636363635,22,20.46,36576.0,0,0,0
2810,CENTER 26 JT,0.01,16,0.946,596,0.735,0.7240000000000001,0.75,16.985999999999997,0.36170212765957444,47,45.46,37024.0,0,0,0
