County Code,County Name,District Code,District Name,School  Code,School Name,PK-12 Student Enrollment,Teacher FTE,Pupil/Teacher Ratio,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,5988,MONROE ELEMENTARY SCHOOL,520,32.60,15.95,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,6306,NORTH MIDDLE SCHOOL,668,38.70,17.26,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,6680,PALMER HIGH SCHOOL,1836,91.10,20.15,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,6856,PENROSE ELEMENTARY SCHOOL,341,20.40,16.72,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,7228,QUEEN PALMER ELEMENTARY SCHOOL,279,17.95,15.55,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,7482,ROOSEVELT EDISON CHARTER SCHOOL,718,44.47,16.14,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,7513,RUDY ELEMENTARY SCHOOL,407,22.60,18.01,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,7523,RUSSELL MIDDLE SCHOOL,687,41.00,16.76,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,7556,SABIN MIDDLE SCHOOL,806,47.60,16.93,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,7705,SCOTT ELEMENTARY SCHOOL,617,33.75,18.28,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,8246,STEELE ELEMENTARY SCHOOL,300,17.90,16.76,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,8346,STRATTON ELEMENTARY SCHOOL,353,21.00,16.81,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,8457,JACK SWIGERT AEROSPACE ACADEMY,476,33.40,14.25,,,,,,,,,,,,,
